surface,w_ace,l_ace,tot_ace
Hard,5,1,6
Hard,7,4,11
Hard,3,3,6
Hard,1,0,1
Hard,6,2,8
Hard,1,1,2
Hard,2,0,2
Hard,9,12,21
Hard,8,1,9
Hard,3,2,5
Hard,6,6,12
Hard,15,3,18
Hard,4,2,6
Hard,9,5,14
Hard,10,1,11
Hard,3,0,3
Hard,4,5,9
Hard,1,1,2
Hard,5,1,6
Hard,2,0,2
Hard,9,0,9
Hard,3,1,4
Hard,4,0,4
Hard,0,1,1
Hard,2,0,2
Hard,1,0,1
Hard,3,2,5
Hard,6,6,12
Hard,3,0,3
Hard,7,1,8
Hard,7,1,8
Hard,6,0,6
Hard,2,7,9
Hard,2,1,3
Hard,3,1,4
Hard,3,0,3
Hard,3,0,3
Hard,2,1,3
Hard,3,0,3
Hard,7,1,8
Hard,1,0,1
Hard,0,0,0
Hard,0,1,1
Hard,0,1,1
Hard,2,1,3
Hard,9,4,13
Hard,4,1,5
Hard,11,7,18
Hard,0,3,3
Hard,1,1,2
Hard,3,4,7
Hard,2,1,3
Hard,3,0,3
Hard,0,5,5
Hard,2,1,3
Hard,9,10,19
Hard,0,0,0
Hard,3,2,5
Hard,5,1,6
Hard,0,0,0
Hard,0,0,0
Hard,2,4,6
Hard,3,2,5
Hard,1,1,2
Hard,5,2,7
Hard,2,3,5
Hard,1,3,4
Hard,3,2,5
Hard,5,2,7
Hard,3,0,3
Hard,2,0,2
Hard,1,3,4
Hard,3,3,6
Hard,2,2,4
Hard,7,2,9
Hard,4,1,5
Hard,2,3,5
Hard,5,4,9
Hard,5,1,6
Hard,6,1,7
Hard,1,0,1
Hard,13,8,21
Hard,4,1,5
Hard,9,2,11
Hard,2,2,4
Hard,7,3,10
Hard,0,0,0
Hard,2,5,7
Hard,0,3,3
Hard,2,0,2
Hard,3,3,6
Hard,3,6,9
Hard,0,0,0
Hard,7,0,7
Hard,4,4,8
Hard,1,0,1
Hard,2,2,4
Hard,8,0,8
Hard,4,1,5
Hard,1,4,5
Hard,1,2,3
Hard,1,0,1
Hard,9,1,10
Hard,2,3,5
Hard,2,3,5
Hard,2,0,2
Hard,1,2,3
Hard,3,2,5
Hard,2,0,2
Hard,8,3,11
Hard,5,2,7
Hard,3,10,13
Hard,0,6,6
Hard,4,3,7
Hard,1,5,6
Hard,1,3,4
Hard,6,1,7
Hard,2,8,10
Hard,0,3,3
Hard,6,5,11
Hard,12,0,12
Hard,3,0,3
Hard,4,2,6
Hard,2,1,3
Hard,4,6,10
Hard,5,6,11
Hard,4,2,6
Hard,5,3,8
Hard,1,7,8
Hard,2,0,2
Hard,4,4,8
Hard,2,0,2
Hard,6,5,11
Hard,4,2,6
Hard,5,2,7
Hard,0,5,5
Hard,5,0,5
Hard,6,4,10
Hard,2,8,10
Hard,10,2,12
Hard,2,9,11
Hard,7,0,7
Hard,3,1,4
Hard,4,2,6
Hard,5,0,5
Hard,0,2,2
Hard,2,3,5
Hard,2,3,5
Hard,4,2,6
Hard,3,0,3
Hard,1,2,3
Hard,10,1,11
Hard,1,2,3
Hard,5,1,6
Hard,2,8,10
Hard,7,1,8
Hard,5,1,6
Hard,6,1,7
Hard,0,5,5
Hard,2,0,2
Hard,5,3,8
Hard,4,1,5
Hard,5,2,7
Hard,3,0,3
Hard,4,9,13
Hard,4,1,5
Hard,6,3,9
Hard,0,0,0
Hard,5,3,8
Hard,2,0,2
Hard,4,1,5
Hard,3,1,4
Hard,2,0,2
Hard,4,0,4
Hard,9,3,12
Hard,1,0,1
Hard,6,3,9
Hard,6,15,21
Hard,1,0,1
Hard,3,4,7
Hard,1,2,3
Hard,6,2,8
Hard,3,1,4
Hard,6,1,7
Hard,2,2,4
Hard,2,3,5
Hard,1,1,2
Hard,7,2,9
Hard,13,2,15
Hard,11,4,15
Hard,3,2,5
Hard,0,2,2
Hard,1,4,5
Hard,8,1,9
Hard,4,3,7
Hard,1,2,3
Hard,11,12,23
Hard,3,0,3
Hard,1,0,1
Hard,0,2,2
Hard,6,4,10
Hard,1,1,2
Hard,5,0,5
Hard,1,1,2
Hard,5,5,10
Hard,3,3,6
Hard,4,0,4
Hard,1,2,3
Hard,2,3,5
Hard,0,1,1
Hard,0,1,1
Hard,1,3,4
Hard,8,1,9
Hard,4,2,6
Hard,7,1,8
Hard,5,11,16
Hard,3,5,8
Hard,2,2,4
Hard,0,0,0
Hard,8,0,8
Hard,5,5,10
Hard,6,0,6
Hard,3,3,6
Hard,4,0,4
Hard,4,5,9
Hard,7,5,12
Hard,3,3,6
Hard,4,0,4
Hard,7,1,8
Hard,1,2,3
Hard,2,1,3
Hard,6,4,10
Hard,8,5,13
Hard,3,0,3
Hard,7,4,11
Hard,4,1,5
Hard,3,5,8
Hard,10,4,14
Hard,1,2,3
Hard,3,0,3
Hard,2,1,3
Hard,5,7,12
Hard,5,3,8
Hard,5,0,5
Hard,3,2,5
Hard,0,2,2
Hard,2,7,9
Hard,4,0,4
Hard,12,0,12
Hard,4,0,4
Hard,3,3,6
Hard,2,0,2
Hard,0,10,10
Hard,3,1,4
Hard,1,4,5
Hard,4,2,6
Hard,6,8,14
Hard,1,0,1
Hard,12,13,25
Hard,2,7,9
Hard,8,0,8
Hard,6,1,7
Hard,7,3,10
Hard,20,4,24
Hard,3,1,4
Hard,9,10,19
Hard,3,6,9
Hard,6,3,9
Clay,1,0,1
Clay,1,1,2
Clay,2,0,2
Clay,2,0,2
Clay,1,1,2
Clay,1,2,3
Clay,0,0,0
Clay,0,1,1
Clay,3,2,5
Clay,0,1,1
Clay,1,3,4
Clay,3,0,3
Clay,2,1,3
Clay,1,0,1
Clay,0,1,1
Clay,1,0,1
Clay,1,1,2
Clay,0,1,1
Clay,0,6,6
Clay,0,0,0
Clay,3,4,7
Clay,0,0,0
Clay,3,3,6
Clay,0,0,0
Clay,0,0,0
Clay,1,1,2
Clay,1,2,3
Clay,0,0,0
Clay,0,2,2
Clay,0,1,1
Clay,1,2,3
Clay,11,1,12
Clay,1,0,1
Clay,0,0,0
Clay,0,2,2
Clay,2,1,3
Clay,0,2,2
Clay,1,1,2
Clay,7,0,7
Clay,5,0,5
Clay,2,0,2
Clay,6,1,7
Clay,1,1,2
Clay,1,1,2
Clay,0,0,0
Clay,0,1,1
Clay,1,0,1
Clay,0,3,3
Clay,8,3,11
Clay,0,3,3
Clay,3,3,6
Clay,1,2,3
Clay,3,0,3
Clay,0,1,1
Clay,0,0,0
Clay,0,0,0
Clay,2,0,2
Clay,1,1,2
Clay,0,2,2
Clay,3,0,3
Clay,2,0,2
Clay,9,1,10
Clay,1,0,1
Clay,5,2,7
Clay,2,1,3
Clay,2,3,5
Clay,5,0,5
Clay,0,0,0
Clay,0,3,3
Clay,3,0,3
Clay,0,0,0
Clay,3,0,3
Clay,2,0,2
Clay,1,1,2
Clay,0,0,0
Clay,3,3,6
Clay,0,2,2
Clay,0,0,0
Clay,1,2,3
Clay,NA,NA,#VALUE!
Clay,4,0,4
Clay,5,0,5
Clay,2,1,3
Clay,4,3,7
Clay,2,2,4
Clay,2,0,2
Clay,0,1,1
Clay,0,2,2
Clay,4,2,6
Clay,1,2,3
Clay,1,0,1
Clay,0,1,1
Clay,5,6,11
Clay,1,2,3
Clay,2,0,2
Clay,2,2,4
Clay,3,1,4
Clay,1,2,3
Clay,0,2,2
Clay,3,0,3
Clay,2,3,5
Clay,6,2,8
Clay,0,0,0
Clay,1,1,2
Clay,4,5,9
Clay,3,6,9
Clay,1,3,4
Clay,0,0,0
Clay,4,1,5
Clay,0,0,0
Clay,1,0,1
Clay,7,0,7
Clay,1,2,3
Clay,1,2,3
Clay,1,1,2
Clay,2,0,2
