w_bpSaved,w_bpFaced,l_bpSaved,l_bpFaced,player_rank,player_bcr
0,0,3,7,54,#DIV/0!
1,2,2,8,21,-0.5
10,15,4,10,111,-0.333333333
6,15,6,16,61,-0.6
1,1,7,11,15,0
2,4,2,7,9,-0.5
7,11,4,5,57,-0.363636364
8,13,7,15,38,-0.384615385
2,2,3,6,18,0
2,5,5,11,26,-0.6
2,3,7,11,75,-0.333333333
3,5,3,8,48,-0.4
1,3,6,11,6,-0.666666667
1,2,4,9,8,-0.5
4,5,1,4,62,-0.2
1,2,1,5,115,-0.5
8,10,3,7,32,-0.2
3,5,7,10,24,-0.4
9,12,7,12,71,-0.25
2,2,8,10,34,0
7,9,1,6,12,-0.222222222
2,7,7,14,85,-0.714285714
2,2,13,16,68,0
5,9,8,14,122,-0.444444444
1,4,6,11,20,-0.75
1,3,8,14,29,-0.666666667
1,2,2,7,103,-0.5
7,14,3,11,52,-0.5
2,4,6,10,3,-0.5
5,7,7,11,7,-0.285714286
4,8,5,11,53,-0.5
5,6,6,9,40,-0.166666667
1,3,3,9,49,-0.666666667
2,3,2,6,16,-0.333333333
1,5,8,12,60,-0.8
2,3,0,3,313,-0.333333333
2,3,2,6,139,-0.333333333
6,8,0,2,19,-0.25
6,7,5,9,59,-0.142857143
8,9,6,10,148,-0.111111111
1,1,1,5,50,0
0,0,2,5,28,#DIV/0!
3,7,3,10,35,-0.571428571
5,9,0,6,81,-0.444444444
3,4,4,7,39,-0.25
0,1,2,7,1,-1
4,8,7,12,182,-0.5
7,11,6,13,55,-0.363636364
1,2,4,9,13,-0.5
0,3,6,10,10,-1
8,9,5,9,17,-0.111111111
6,8,2,4,31,-0.25
4,9,10,18,95,-0.555555556
2,6,10,15,4,-0.666666667
3,6,15,20,54,-0.5
5,7,2,8,21,-0.285714286
0,0,2,7,15,#DIV/0!
0,1,2,8,9,-1
0,0,6,8,18,#DIV/0!
8,9,7,10,75,-0.111111111
1,3,5,10,6,-0.666666667
2,5,2,5,8,-0.6
2,3,0,4,32,-0.333333333
14,17,5,9,24,-0.176470588
8,14,4,11,34,-0.428571429
1,3,4,9,68,-0.666666667
5,7,5,10,20,-0.285714286
0,2,4,7,29,-1
0,1,4,9,3,-1
3,9,5,14,7,-0.666666667
3,4,5,11,40,-0.25
5,6,7,11,60,-0.166666667
0,0,2,4,313,#DIV/0!
0,0,10,12,19,#DIV/0!
2,3,3,8,50,-0.333333333
9,13,4,9,35,-0.307692308
3,6,1,5,81,-0.5
4,4,0,5,1,0
6,9,4,8,55,-0.333333333
0,0,6,8,10,#DIV/0!
2,5,0,6,31,-0.6
7,8,11,15,54,-0.125
14,15,9,13,21,-0.066666667
4,5,2,5,18,-0.2
0,0,9,12,6,#DIV/0!
4,7,5,12,8,-0.428571429
